City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,khomutovo,52.8079,37.4961,-8.37,95,73,3.47,RU,1675898231
126,petropavlovsk-kamchatskiy,52.2264,158.2619,-14.41,80,52,2.6,RU,1675898232
127,vila velha,-25.7784,-29.7949,26.28,68,1,2.58,Unknown,1675898233
128,mulege,26.1114,-113.1042,17.94,53,0,4.77,MX,1675898233
129,avarua,-46.1425,-167.0091,16.58,94,70,7.37,Unknown,1675898234
130,bambanglipuro,-16.7523,108.8486,26.68,79,100,11.54,Unknown,1675898235
131,saskylakh,89.8485,119.0744,-21.7,93,100,11.07,Unknown,1675898236
132,namibe,-19.4093,4.3608,22.35,71,85,6.33,Unknown,1675898237
133,ust-tsilma,66.3675,52.0703,-4.27,81,100,6.9,RU,1675898237
134,rio brilhante,-22.2352,-54.0716,26.01,69,82,2.56,BR,1675898237
135,port hedland,-25.3699,121.0303,30.09,16,6,3.7,AU,1675898238
136,palabuhanratu,-8.2332,105.0704,26.72,81,100,7.82,Unknown,1675898238
137,caravelas,-24.863,-24.9479,25.88,71,0,3.89,Unknown,1675898239
138,jamestown,-27.5778,-21.6834,25.52,70,0,4.31,Unknown,1675898240
139,port elizabeth,-82.5543,31.0182,-37.65,99,76,4.49,Unknown,1675898241
140,tateyama,31.9847,141.0044,14.81,58,5,6.38,Unknown,1675898242
141,saint-augustin,58.2376,-62.2729,-12.47,95,100,8.86,Unknown,1675898242
142,bantogon,6.4316,123.5728,27.04,73,97,1.29,PH,1675898243
143,semey,50.0101,79.9102,-13.72,96,100,2.49,KZ,1675898246
144,ancud,-40.4478,-82.3695,16.89,91,47,6.49,Unknown,1675898247
145,mandla,22.4024,80.3941,13.97,37,10,1.46,IN,1675898247
146,senno,55.0892,29.6676,-5.4,96,99,2.31,BY,1675898251
147,georgetown,-0.9123,-14.3261,26.62,81,60,3.91,Unknown,1675898252
148,catamarca,-28.5117,-64.8671,34.94,24,41,4.02,AR,1675898252
149,carnarvon,-23.9407,114.5397,27.54,49,64,4.74,AU,1675898253
150,porto novo,13.6027,-34.4268,22.7,64,0,7.7,Unknown,1675898253
151,ust-karsk,52.5074,118.8182,-22.91,95,94,1.44,RU,1675898253
152,makat,49.0067,53.8094,-16.43,94,5,2.13,KZ,1675898254
153,conde,-12.0369,-37.0984,26.96,74,43,6.25,BR,1675898254
154,saint george,32.8525,-57.4954,18.36,62,54,7.04,Unknown,1675898254
155,rocha,-54.3244,-35.7183,2.13,91,100,2.76,GS,1675898255
156,bredasdorp,-40.7469,20.2822,17.3,69,100,7.0,Unknown,1675898255
157,lagoa,47.5089,-32.9957,13.25,88,100,13.44,Unknown,1675898256
158,roma,-25.7475,146.0466,24.83,53,100,5.96,AU,1675898256
159,srebrenica,44.0527,19.2028,-13.02,97,82,0.98,BA,1675898256
160,cayenne,9.0836,-46.5437,25.04,70,29,9.91,Unknown,1675898257
161,yumen,37.7554,94.4049,-10.11,46,35,3.25,CN,1675898257
162,pevek,85.8071,170.5827,-26.31,96,24,7.36,Unknown,1675898258
163,tasiilaq,67.417,-39.9136,-39.69,81,5,8.55,Unknown,1675898258
164,arraial do cabo,-48.0197,-26.8738,8.16,68,59,12.45,Unknown,1675898258
